InvoiceDate,Revenue,Rolling_7_Days,Rolling_30_Days,Rolling_STD
2010-12-01 08:26:00,139.12,,,
2010-12-01 08:28:00,22.200000000000003,,,
2010-12-01 08:34:00,348.78000000000003,,,
2010-12-01 08:35:00,17.85,,,
2010-12-01 08:45:00,855.86,,,
2010-12-01 09:00:00,204.0,,,
2010-12-01 09:01:00,22.200000000000003,230.00142857142856,,301.69352685733753
2010-12-01 09:02:00,259.86,247.25,,299.0717340371704
2010-12-01 09:09:00,350.4,294.1357142857143,,283.21603684920706
2010-12-01 09:32:00,588.6600000000001,328.4042857142857,,304.63260746113735
2010-12-01 09:34:00,22.200000000000003,329.0257142857143,,303.89706321149504
2010-12-01 09:37:00,444.98,270.3285714285714,,210.51290533904498
2010-12-01 09:41:00,484.78,310.44,,222.1941901430668
2010-12-01 09:45:00,430.6,368.78285714285715,,184.27807517574132
2010-12-01 09:53:00,489.6,401.6028571428572,,182.09108542286236
2010-12-01 09:56:00,130.85,370.23857142857145,,209.26153034170508
2010-12-01 09:57:00,508.20000000000005,358.7442857142857,,197.12218443198643
2010-12-01 09:58:00,3193.92,811.8471428571429,,1058.378225883266
2010-12-01 09:59:00,226.14,780.5842857142858,,1074.1358237494478
2010-12-01 10:03:00,358.25,762.5085714285715,,1080.9860899880346
2010-12-01 10:19:00,1825.74,961.8142857142857,,1136.7661704129123
2010-12-01 10:29:00,318.14,937.32,,1150.4024238934826
2010-12-01 10:37:00,79.6,929.9985714285714,,1156.5371398911577
2010-12-01 10:39:00,1024.68,1003.7814285714286,,1141.5203388234565
2010-12-01 10:47:00,507.88,620.0614285714286,,610.5920760057014
2010-12-01 10:51:00,655.36,681.3785714285714,,585.475512281216
2010-12-01 10:52:00,448.76,694.3085714285714,,578.1030018785166
2010-12-01 10:53:00,17.4,435.9742857142857,,345.4780260671262
2010-12-01 11:21:00,354.23,441.13000000000005,,343.69112552794627
2010-12-01 11:22:00,357.0,480.7585714285715,489.57466666666664,309.3332854397538
2010-12-01 11:27:00,192.60000000000002,361.89,491.3573333333333,209.12483106189586
2010-12-01 11:29:00,471.3,356.6642857142857,506.3273333333334,205.2906399763627
2010-12-01 11:32:00,326.4,309.67,505.58133333333336,157.64043379370182
2010-12-01 11:33:00,353.14,296.01000000000005,516.7576666666666,147.38864825125833
2010-12-01 11:34:00,22.200000000000003,296.69571428571425,488.96900000000005,145.8798446047451
2010-12-01 11:41:00,783.11,357.9642857142857,508.2726666666667,236.18402880361023
2010-12-01 11:45:00,232.03,340.1114285714285,515.267,240.94425900531198
2010-12-01 11:49:00,453.46,377.3771428571428,521.7203333333333,234.41130467010902
2010-12-01 11:57:00,390.79,365.87571428571425,523.0666666666667,230.98498514384994
2010-12-01 11:58:00,225.7,351.49000000000007,510.968,236.9130071003556
2010-12-01 12:03:00,233.45,334.39142857142855,518.0096666666667,241.05698796678527
2010-12-01 12:08:00,666.35,426.4128571428572,525.3886666666666,224.39111336490726
2010-12-01 12:12:00,842.12,434.84285714285716,537.3000000000001,240.55157213608615
2010-12-01 12:15:00,430.99,463.2657142857143,537.313,223.76219928435458
2010-12-01 12:22:00,312.94,443.1914285714286,531.4243333333334,230.97545348864566
2010-12-01 12:23:00,308.0,431.36428571428576,537.3293333333334,236.16717390139388
2010-12-01 12:27:00,2474.7400000000002,752.6557142857143,602.8806666666667,790.0568377202816
